                   e00                   e01                   e02                   e03                   e04                   e05                   e06                   e07                   e08                   e09                   e10                   e11
    2.8376261357039403    2.8376261357039403    3.5928337629911926    3.5928337629911926    3.5928337629911931    3.5928337629911931    5.3964988201571158    5.3964988201571158    5.6914223645554056    5.6914223645554056    6.1390154256549740    6.1390154256549740
    2.8383406318834701    2.8383406318834701    3.6139549578134682    3.6139549578134682    3.6139549578134700    3.6139549578134700    5.3846859258031525    5.3846859258031525    5.6915215022585377    5.6915215022585377    6.1333853427631357    6.1333853427631357
    2.8390651389380928    2.8390651389380928    3.6350144353294387    3.6350144353294387    3.6350144353294422    3.6350144353294422    5.3726616092369612    5.3726616092369612    5.6916237591047372    5.6916237591047372    6.1277035374958277    6.1277035374958277
    2.8397991335684698    2.8397991335684698    3.6559733986857705    3.6559733986857705    3.6559733986857768    3.6559733986857768    5.3604288269594367    5.3604288269594367    5.6917291733294784    5.6917291733294784    6.1219734837129813    6.1219734837129813
    2.8405421734511864    2.8405421734511864    3.6767996227295576    3.6767996227295576    3.6767996227295616    3.6767996227295616    5.3479909222120430    5.3479909222120430    5.6918377673502478    5.6918377673502478    6.1161987628029344    6.1161987628029344
    2.8412939057781497    2.8412939057781497    3.6974683145224692    3.6974683145224692    3.6974683145224754    3.6974683145224754    5.3353515878579669    5.3353515878579669    5.6919495472568133    5.6919495472568133    6.1103830521253188    6.1103830521253188
    2.8420540718781928    2.8420540718781928    3.7179626823609588    3.7179626823609588    3.7179626823609593    3.7179626823609593    5.3225148165485701    5.3225148165485701    5.6920645025776686    5.6920645025776686    6.1045301097007201    6.1045301097007201
    2.8428225078603804    2.8428225078603804    3.7382742007592595    3.7382742007592595    3.7382742007592595    3.7382742007592595    5.3094848399598105    5.3094848399598105    5.6921826063423451    5.6921826063423451    6.0986437556585296    6.0986437556585296
    2.8435991413680517    2.8435991413680517    3.7584025699461630    3.7584025699461630    3.7584025699461638    3.7584025699461638    5.2962660593093602    5.2962660593093602    5.6923038154545091    5.6923038154545091    6.0927278510838887    6.0927278510838887
    2.8443839846736036    2.8443839846736036    3.7783553792974485    3.7783553792974485    3.7783553792974516    3.7783553792974516    5.2828629697125153    5.2828629697125153    5.6924280713841835    5.6924280713841835    6.0867862750073822    6.0867862750073822
    2.8451771244728268    2.8451771244728268    3.7981474944370222    3.7981474944370222    3.7981474944370222    3.7981474944370222    5.2692800811800158    5.2692800811800158    5.6925553011811925    5.6925553011811925    6.0808229003595340    6.0808229003595340
    2.8459787088539281    2.8459787088539281    3.8178001971134279    3.8178001971134279    3.8178001971134283    3.8178001971134283    5.2555218392104202    5.2555218392104202    5.6926854188056568    5.6926854188056568    6.0748415697538034    6.0748415697538034
    2.8467889320101709    2.8467889320101709    3.8373401150883617    3.8373401150883617    3.8373401150883630    3.8373401150883630    5.2415925479566861    5.2415925479566861    5.6928183267615786    5.6928183267615786    6.0688460719716240    6.0688460719716240
    2.8476080173384286    2.8476080173384286    3.8567979859188508    3.8567979859188508    3.8567979859188535    3.8567979859188535    5.2274962988746871    5.2274962988746871    5.6929539180142879    5.6929539180142879    6.0628401200006676    6.0628401200006676
    2.8484361996106204    2.8484361996106204    3.8762073034461664    3.8762073034461664    3.8762073034461668    3.8762073034461668    5.2132369075619058    5.2132369075619058    5.6930920781615333    5.6930920781615333    6.0568273314162884    6.0568273314162884
    2.8492737069265224    2.8492737069265224    3.8956028988930105    3.8956028988930105    3.8956028988930114    3.8956028988930114    5.1988178612075702    5.1988178612075702    5.6932326878223636    5.6932326878223636    6.0508112118089104    6.0508112118089104
    2.8501207431534867    2.8501207431534867    3.9150195096471454    3.9150195096471454    3.9150195096471494    3.9150195096471494    5.1842422786824978    5.1842422786824978    5.6933756251995344    5.6933756251995344    6.0447951418424175    6.0447951418424175
    2.8509774715232110    2.8509774715232110    3.9344903880629034    3.9344903880629034    3.9344903880629047    3.9344903880629047    5.1695128848312333    5.1695128848312333    5.6935207687630971    5.6935207687630971    6.0387823683855117    6.0387823683855117
    2.8518440000000149    2.8518440000000149    3.9540459999999515    3.9540459999999515    3.9540459999999520    3.9540459999999520    5.1546319999999959    5.1546319999999959    5.6936679999999358    5.6936679999999358    6.0327759999999522    6.0327759999999522
    2.8527203689591496    2.8527203689591496    3.9737128584935002    3.9737128584935002    3.9737128584935020    3.9737128584935020    5.1396015452603940    5.1396015452603940    5.6938172061662762    5.6938172061662762    6.0267790068984954    6.0267790068984954
    2.8536065416160179    2.8536065416160179    3.9935125320640479    3.9935125320640479    3.9935125320640523    3.9935125320640523    5.1244230631965673    5.1244230631965673    5.6939682829777034    5.6939682829777034    6.0207942253049156    6.0207942253049156
    2.8545023975332393    2.8545023975332393    4.0134608600000865    4.0134608600000865    4.0134608600000883    4.0134608600000883    5.1090977535324100    5.1090977535324100    5.6941211371716252    5.6941211371716252    6.0148243659769562    6.0148243659769562
