                   e00                   e01                   e02                   e03                   e04                   e05
    2.8295287026127456    2.8295287026127456    3.3333633789539112    3.3333633789539112    3.3333633789539125    3.3333633789539125
    2.8300605486697368    2.8300605486697368    3.3514291448391131    3.3514291448391131    3.3514291448391131    3.3514291448391131
    2.8306083444527608    2.8306083444527608    3.3698604514971691    3.3698604514971691    3.3698604514971695    3.3698604514971695
    2.8311721903683860    2.8311721903683860    3.3886672650496781    3.3886672650496781    3.3886672650496781    3.3886672650496781
    2.8317520419672446    2.8317520419672446    3.4078488713901498    3.4078488713901498    3.4078488713901502    3.4078488713901502
    2.8323477157851280    2.8323477157851280    3.4273941382829483    3.4273941382829483    3.4273941382829505    3.4273941382829505
    2.8329588996885451    2.8329588996885451    3.4472821400728879    3.4472821400728879    3.4472821400728884    3.4472821400728884
    2.8335851672030006    2.8335851672030006    3.4674831108415201    3.4674831108415201    3.4674831108415209    3.4674831108415209
    2.8342259951762365    2.8342259951762365    3.4879596817869971    3.4879596817869971    3.4879596817869989    3.4879596817869989
    2.8348807840363355    2.8348807840363355    3.5086683502989153    3.5086683502989153    3.5086683502989175    3.5086683502989175
    2.8355488798313808    2.8355488798313808    3.5295611218522795    3.5295611218522795    3.5295611218522831    3.5295611218522831
    2.8362295972019025    2.8362295972019025    3.5505872616314900    3.5505872616314900    3.5505872616315015    3.5505872616315015
    2.8369222424266729    2.8369222424266729    3.5716950908463150    3.5716950908463150    3.5716950908463185    3.5716950908463185
    2.8376261357039403    2.8376261357039403    3.5928337629911926    3.5928337629911926    3.5928337629911931    3.5928337629911931
    2.8383406318834701    2.8383406318834701    3.6139549578134682    3.6139549578134682    3.6139549578134700    3.6139549578134700
    2.8390651389380928    2.8390651389380928    3.6350144353294387    3.6350144353294387    3.6350144353294422    3.6350144353294422
    2.8397991335684698    2.8397991335684698    3.6559733986857705    3.6559733986857705    3.6559733986857768    3.6559733986857768
    2.8405421734511864    2.8405421734511864    3.6767996227295576    3.6767996227295576    3.6767996227295616    3.6767996227295616
    2.8412939057781497    2.8412939057781497    3.6974683145224692    3.6974683145224692    3.6974683145224754    3.6974683145224754
    2.8420540718781928    2.8420540718781928    3.7179626823609588    3.7179626823609588    3.7179626823609593    3.7179626823609593
    2.8428225078603804    2.8428225078603804    3.7382742007592595    3.7382742007592595    3.7382742007592595    3.7382742007592595
