iter	Passed	Remaining
685	8016	3669
686	8027	3657
687	8038	3645
688	8049	3633
689	8061	3621
690	8072	3610
691	8084	3598
692	8096	3586
693	8108	3575
694	8119	3563
695	8131	3551
696	8142	3539
697	8154	3528
698	8166	3516
699	8177	3504
700	8188	3492
701	8200	3481
702	8211	3469
703	8223	3457
704	8234	3445
705	8245	3433
706	8256	3421
707	8268	3410
708	8279	3398
709	8291	3386
710	8302	3374
711	8314	3362
712	8325	3351
713	8336	3339
714	8349	3328
715	8361	3316
716	8372	3304
717	8384	3292
718	8395	3281
719	8407	3269
720	8418	3257
721	8430	3246
722	8442	3234
723	8454	3222
724	8465	3211
725	8476	3199
726	8488	3187
727	8499	3175
728	8511	3163
729	8522	3152
730	8534	3140
731	8545	3128
732	8557	3116
733	8568	3105
734	8579	3093
735	8591	3081
736	8602	3069
737	8614	3058
738	8626	3046
739	8637	3034
740	8648	3023
741	8660	3011
742	8671	2999
743	8682	2987
744	8693	2975
745	8704	2963
746	8715	2951
747	8727	2940
748	8738	2928
749	8749	2916
750	8761	2904
751	8772	2893
752	8784	2881
753	8796	2869
754	8807	2858
755	8819	2846
756	8830	2834
757	8841	2822
758	8853	2811
759	8865	2799
760	8876	2787
761	8888	2776
762	8899	2764
763	8911	2752
764	8922	2740
765	8934	2729
766	8945	2717
767	8956	2705
768	8968	2693
769	8979	2682
770	8990	2670
771	9002	2658
772	9013	2647
773	9025	2635
774	9037	2623
775	9048	2612
776	9060	2600
777	9071	2588
778	9082	2576
779	9093	2564
780	9104	2553
781	9115	2541
782	9126	2529
783	9139	2517
784	9150	2506
785	9163	2494
786	9174	2483
787	9186	2471
788	9198	2459
789	9209	2448
790	9221	2436
791	9232	2424
792	9244	2413
793	9255	2401
794	9266	2389
795	9277	2377
796	9289	2366
797	9302	2354
798	9314	2343
799	9325	2331
800	9336	2319
801	9347	2307
802	9359	2296
803	9371	2284
804	9382	2272
805	9394	2261
806	9405	2249
807	9417	2237
808	9428	2226
809	9439	2214
810	9451	2202
811	9462	2190
812	9474	2179
813	9485	2167
814	9497	2155
815	9509	2144
